pid,ipc1,YEAR,tech,com
US20150005785,A61B 19,2016,robot arm collision,"St. Jude Medical, Atrial Fibrillation Division, Inc."
WO2015120008A1,A61B 19,2015,robot arm collision,Intuitive Surgical Operations
US20130325030,A61B 19,2013,collision avoidance scheme,"Intuitive Surgical Operations, Inc."
US20110172819,B25J 9,2011,manipulator control,"Samsung Electronics Co., Ltd."
US8086008,G06T 7,2010,real-time guiding location,"Intuitive Surgical Operations, Inc."
US20110066282,B25J 19,2009,collision avoidance scheme,"Harris Corporation, Corporation Of The State Of Delaware"
WO2008031664A1,G05B 19,2007,robot arm collision,Abb Research Ltd.
EP1366867A2,B25J 9,2003,avoiding collision robots and others,KUKA Roboter GmbH
US6166504,B25J 9,1999,moving robot arm,Denso Corporation
US6044964,G11B 23,1998,multidirection conveyr,"Sony Corporation, Digital Audio Disc Corporation"
KR100218106B1,G05B 13,1997,robot arm,SAMSUNG ELECTRONICS CO LTD
US6034712,B41J 2,1997,exposure and image forming,Brother Kogyo Kabushiki Kaisha
EP0743579A2,G05B 19,1996,robot,Siemens Aktiengesellschaft
US6167145,G06F 19,1996,bone navigation system,"Surgical Navigation Technologies, Inc."
EP0583487A1,G05B 19,1992,braking action,Siemens Aktiengesellschaft
EP0102219A2,G01B 21,1983,Acceleration/deceleration device,Fanuc Ltd.
US3868565,G05D 1,1973,object tracking,Jack Kuipers
US3821469,G06F 3,1972,graphica data device,Amperex Electronic Corp
US3538315,G05B 19,1967,machine control,Pratt & Whitney Inc
US3417303,G05B 19,1964,neuro control system,Pratt & Whitney Inc
US3286085,G05B 19,1963,machine control,Twr Inc
US3122691,G05B 19,1962,digital contouring system,Bendix Corp
US3204132,G05B 19,1962,contourding system,Bendix Corp
US3099781,G05B 19,1961,digital control,Westinghouse Electric Corp
US3109974,G05B 19,1961,feedrate control,Thompson Ramo Wooldridge Inc
US3110865,G05B 19,1960,feed rate control,Gen Electric
US3246125,G05B 19,1960,neuro control system,Warner Swasey Co
US3015806,G05B 19,1958,machine control system,Wang Laboratories
US3278817,G05B 19,1958,control system,Bendix Corp
US2838963,B23B 39,1957,control system,American Steel Foundries
US2922940,H03M 1,1957,digital control,Harry W Mergler
US3063311,G05B 19,1957,control system,Gen Electric
US2843811,G05B 19,1956,three dimensional system,Inductosyn Corp
US2867724,G05B 19,1956,control cirtcuit,Gen Dynamics Corp
US2927735,G05B 19,1956,radio system,Gen Dynamics Corp
US2736852,G05B 19,1955,automatic digital control system,Eldred C Nelson
US2833941,H03M 1,1955,automation system,Gen Dynamics Corp
US2839711,G05D 3,1955,automatic control,Industosyn Corp
US2876650,G05B 19,1955,automatic position machine,Sundstrand Machine Tool Co
US2820898,G01S 13,1954,radio system,Csf
US2711499,H03M 1,1953,converting electrical code,Bernard Lippel
US2744872,C10M,1953,gear,Texas Co
US2784359,B25J 9,1953,digital control,Sperry Prod Inc
US2809333,H02P 5,1952,thickness control system,Giddings & Lewis
US2590110,H03M 1,1951,translator,Us Army
US2640176,B23Q 35,1951,speed control,Raytheon Mfg Co
US2643355,H03M 1,1951,computer device,Jr Ludlow B Hallman
US2673951,B23Q 35,1951,motor mechanism,Electronique & Automatisme Sa
US2685054,H03M 1,1951,electric rotation,Us Army
US2741732,G05B 19,1951,automatic motor control,Bosch Arma Corp
US2781169,G06G 7,1951,vector adder,Northrop Aircraft Inc
US2870429,G05B 19,1951,automatic program,Gen Precision Lab Inc
US2927258,G05B 19,1951,automatic control,Lippel Bernard
US2575017,H03M 5,1950,sync coded signal,Eastman Kodak Co
US2576903,G04C 23,1950,electric switching,Librascope Inc
US2656497,G05D 3,1950,position control system,Collins Radio Co
US2658139,H03M 1,1950,decoder,Raytheon Mfg Co
US2660700,G06G 7,1950,sythesizer,United Shoe Machinery Corp
US2672067,G05D 3,1950,electric control,Hansell Marjorie B
US2706270,G05B 19,1950,digital control,Ncr Co
US2710934,G05B 19,1950,motor control,Kearney & Trecker Corp
US2715703,G05D 3,1950,remote digital control,Honeywell Regulator Co
US2505029,H03M 1,1949,decoder,Bell Telephone Labor Inc
US2531600,H01J 29,1949,electric beam tube,Bell Telephone Labor Inc
US2533242,H03M 1,1949,data transformer,Gridley Darrin H
US2537427,G05B 19,1949,digital serve,North American Aviation Inc
US2537770,G05B 19,1949,control system,Gen Electric
US2539014,H04M 3,1949,digit generator,Frantz Walter J
US2549422,H03M 1,1949,decoder,Bell Telephone Labor Inc
US2557086,H04J 3,1949,electric communication,"Bert Fisk, Spencer Charles L"
US2564403,G06F 7,1949,data posting system,Teleregister Corp
US2575034,G11B 7,1949,data film record,Eastman Kodak Co
US2584809,G06G 7,1949,computer device,Phillips Petroleum Co
US2588386,G05B 19,1949,automatic tracker,"Capecelatro Achille, Charles L Hubbard"
US2627055,B23Q 35,1949,navigating machine,Raytheon Mfg Co
US2630481,H03M 1,1949,data transmission,Johnson Eric A
US2630552,H03M 1,1949,decoding,Johnson Eric Arthur
US2630722,B23Q 16,1949,machine control,Jr George H Benzon
US2662413,B23D 27,1949,cutting machine,Int Register Co
US2678254,H03M 1,1949,coding system,Schenck James
US2690532,G05B 19,1949,record motor control,Clarence Johnson
US2727570,B65H 35,1949,electric control,Marsh Stencil Machine Company
US2476066,H03K 17,1948,crystal matrix,Sylvania Electric Prod
US2499178,G06K 11,1948,curve tracker,Gen Electric
US2518022,H04Q 3,1948,translator,Bell Telephone Labor Inc
US2538615,H03M 1,1948,decoder,Bell Telephone Labor Inc
US2538789,H03K 23,1948,sequence control,Ibm
US2552137,H03K 17,1948,time control system,Gen Electric
US2570716,H04J 3,1948,signal transmission system,Sylvania Electric Prod
US2575956,G06G 7,1948,train computer,"Hereford Jr Frank L, Whitehead Jr Walter D"
US2581594,H03J 7,1948,radio system,Rca Corp
US2594694,B23Q 35,1948,pattern control,Seneca Falls Machine Co
US2595701,G10H 1,1948,recording system,Bell Telephone Labor Inc
US2596741,G11C 13,1948,external memory device,Eastman Kodak Co
US2609143,G06F 7,1948,electric computing,Stibitz George R
US2610317,H02J 3,1948,power controller,Fowler Girard
US2660618,H03M 1,1948,signal translation,Int Standard Electric Corp
US2661152,G06G 7,1948,computing device,Peter Elias
US2442256,H03K 17,1947,sync system,Westinghouse Electric Corp
US2450096,G05B 19,1947,automatic lathe,Leblond Mach Tool Co R K
US2458697,G06G 7,1947,elctric computer,Universal Oil Prod Co
US2469594,G10K 11,1947,hoist control,Submarine Signal Co
US2475245,B23Q 15,1947,automatic control, Salem Engineering Canada Ltd
US2476673,B24B 47,1947,position control system,Collins Radio Co
US2480386,H04L 15,1947,ink recorder type,Rca Corp
US2480636,G01J 3,1947,oscillographic,Dieke Gerhard H
US2492134,H04J 7,1947,coding system,Fed Telecomm Lab Inc
US2501631,B23D 49,1947,motion control system,Scintilla Ag
US2512185,F16H 21,1947,bearing,Thompson Wade Corp
US2514036,H03K 3,1947,electronic pulse producer,Ibm
US2514671,H03M 1,1947,decoder,Bell Telephone Labor Inc
US2539474,H04B 7,1947,radio system,Int Standard Electric Corp
US2539623,H03M 1,1947,communication system,Bell Telephone Labor Inc
US2556586,G10L 21,1947,indicate wave light,Robert W Johnston
US2557581,H02J 13,1947,remote control system,Rock Ola Mfg Corp
US2559575,B23Q 35,1947,electrical control system,Raytheon Mfg Co
US2576099,H03K 21,1947,translator,Int Standard Electric Corp
US2584897,G01G 23,1947,electric comoputer,Toledo Scale Co
US2632058,H03M 1,1947,pulse modulation,Bell Telephone Labor Inc
US2436172,G05D 3,1946,radio system,Collins Radio Co
US2441549,B24B 17,1946,copying machine,Taylor Taylor & Hobson Ltd
US2442123,H04N 5,1946,sync system,Gen Electric Co Ltd
US2443198,F41G 7,1946,pulse control system,Max E Sallach
US2445663,H03J 7,1946,frequency control system,Collins Radio Co
US2446191,G06G 7,1946,switching system,Cons Eng Corp
US2453454,H03M 1,1946,coding system,Bell Telephone Labor Inc
US2453461,H03M 1,1946,communication system,Bell Telephone Labor Inc
US2454549,G06G 7,1946,electric solver,Rca Corp
US2455974,G06G 7,1946,automatic computing,Rca Corp
US2458652,H03M 13,1946,electron discharge,Bell Telephone Labor Inc
US2459106,G06G 7,1946,computing,Interchem Corp
US2461832,G01S 7,1946,phase shifting,Bell Telephone Labor Inc
US2465624,G06G 7,1946,computing device,Arma Corp
US2466167,B66B 1,1946,speed control,Geoffrey Foulds William
US2466776,H03J 5,1946,automatic control,Collins Radio Co
US2470244,B23Q 35,1946,electrical control system,Submarine Signal Co
US2477848,G01R 13,1946,cathode ray control,Allis Chalmers Mfg Co
US2481383,B23B 39,1946,machine system,Monarch Machine Tool Co
US2488696,B23Q 5,1946,automatic control,Waldron Harvey B
US2489203,G05B 19,1946,automatic lathe,Leblond Mach Tool Co R K
US2489253,G08C 15,1946,multisignal recording system,Andre Walter L
US2489883,H03M 1,1946,pulse modulation,Bell Telephone Labor Inc
US2517559,G06M 3,1946,preset register,Standard Telephones Cables Ltd
US2534287,G06F 9,1946,electric control system,Marsh Jr Lynn W
US2579831,G06F 7,1946,storing measured data,Keinath George
US2581426,H04L 17,1946,telegraph impulse,Creed & Co Ltd
US2581438,G06G 7,1946,navigating machine,Sperry Corp
US2601159,B65H 35,1946,dispense machine,Marsh Stencil Machine Company
US2629440,B26D 1,1946,automatic machine,Harry Rosenthal
US2656106,H03M 1,1946,position control system,Stabler Howard P
US2400793,B26D 3,1945,dispense machine,Radio Corporation of America
US2404773,H04Q 5,1945,communication system,Union Switch & Signal Co
US2409229,H03K 17,1945,selector circuit,"Kuder Milton L, Smith Jr Carl Harrison"
US2418521,H03K 21,1945,impulse measure system,Rca Corp
US2421727,H04J 1,1945,relay system,Rca Corp
US2422020,B23K 11,1945,electric control system,Gen Electric
US2428369,G01R 13,1945,generator,Kammer Erwin W
US2429227,G06F 7,1945,electronic computing,Rca Corp
US2429228,G06F 7,1945,electronic computing,Rca Corp
US2436068,G05D 3,1945,follow up control,Bendix Aviat Corp
US2437707,H04B 14,1945,communication system,Bell Telephone Labor Inc
US2438283,G05D 3,1945,switching system,Bendix Aviat Corp
US2438908,H03M 1,1945,communication system,Bell Telephone Labor Inc
US2451044,H04B 14,1945,communication system,Bell Telephone Labor Inc
US2468150,G06G 7,1945,computer device,Cons Eng Corp
US2468772,H01H 3,1945,multiple switch device,William Mungall
US2471843,H04Q 9,1945,remote control,Bendix Aviat Corp
US2474266,H03K 23,1945,frequency control system,Harold Lyons
US2488412,B23Q 15,1945,control system,Westinghouse Electric Corp
US2498272,B23Q 15,1945,control system,Westinghouse Electric Corp
US2510121,G11B 7,1945,sound record,Standard Telephones Cables Ltd
US2519667,H02P 23,1945,motor control,Bell Telephone Labor Inc
US2525077,G06J 1,1945,electric computing,Rca Corp
US2536916,H04J 3,1945,electronic computing,Ibm
US2538415,G05D 3,1945,electric motor control,Honeywell Regulator Co
US2540797,G06G 7,1945,color matching,American Cyanamid Co
US2543058,H03L 7,1945,frequency control,Ranger Richard H
US2628539,G05B 19,1945,record and reproduce,De Neergaard Leif Eric
US2677758,G01S 13,1945,electrical tracking,Us Sec War
US2331443,B23Q 35,1944,lathe,Fischer Ag Georg
US2373332,B23Q 35,1944,safety device,Gen Motors Corp
US2378326,H04J 7,1944,frequency control system,Gen Railway Signal Co
US2381920,H04L 12,1944,telemetric device,Bell Telephone Labor Inc
US2389368,H02P 5,1944,control system,Westinghouse Electric Corp
US2390415,G06K 5,1944,record control,Ibm
US2401164,B23Q 15,1944,control system,Westinghouse Electric Corp
US2402928,G05D 3,1944,sync system,Gen Electric
US2403210,H04J 3,1944,pulse modulation,"Henry Oxford Alan John, Stewart Butement William Alan"
US2404137,G11B 7,1944,recording system,Maurer Inc J A
US2404250,G06F 7,1944,computing system,Rca Corp
US2406848,G05D 3,1944,remote control,Gen Electric
US2411648,H04M 19,1944,impulse system,Stromberg Carlson Co
US2413211,G05D 3,1944,remote control system,Rca Corp
US2417522,H03K 3,1944,multivibrator circuit,Rca Corp
US2417593,H01Q 3,1944,motor control,Philco Corp
US2419772,H03K 3,1944,pulse modulation,Rca Corp
US2420590,H03K 21,1944,counting device,Line Material Co
US2423208,H04R 19,1944,electrical control system,Rca Corp
US2424481,G01S 13,1944,electric system,Philco Corp
US2425003,G10L 21,1944,frequency control system,Bell Telephone Labor Inc
US2427493,G05B 19,1944,control system,Bullard Co
US2428541,G06G 7,1944,calculator tube,Philco Corp
US2428800,G05D 3,1944,tele control,Bell Telephone Labor Inc
US2428924,A01D 34,1944,counterbalance system,Minneapolis Moline Power Co
US2430139,H03M 1,1944,pulse modulation,Rca Corp
US2430570,G01S 1,1944,radio navigation system,Rca Corp
US2434274,G01G 7,1944,computer device,Bell Telephone Labor Inc
US2435841,G06F 7,1944,computing,Rca Corp
US2437570,B23Q 35,1944,lathe,Der Eisen Und Stahlwerke Vorm
US2438492,H03K 23,1944,signaling system,Bell Telephone Labor Inc
US2438907,H03K 25,1944,discharge system,Standard Telephones Cables Ltd
US2439891,G05B 24,1944,measure control,Bailey Meter Co
US2441387,G06G 7,1944,electronic control system,Us Sec War
US2443098,G06G 7,1944,weight control system,Rca Corp
US2451632,G01S 13,1944,pulse receiver,Bell Telephone Labor Inc
US2452601,H03J 3,1944,radio system,Ranger Richard H
US2457558,G05B 19,1944,measure control system,Bailey Meter Co
US2459253,B23K 7,1944,reproduce machine,Air Reduction
US2460467,H02J 3,1944,electric line control,Line Material Co
US2471834,H03K 17,1944,electric control system,Gen Electric
US2479975,H04Q 9,1944,control system,John J Shively
US2483394,B61L 1,1944,control system,Eastern Ind Inc
US2484968,G05B 19,1944,operating system,Sponaugle Lloyd Blair
US2492731,B23Q 35,1944,tracker control,Gen Electric
US2494663,B23Q 35,1944,sync cutting machine,Linde Air Prod Co
US2534505,G05D 3,1944,telematric,Honeywell Regulator Co
US2364389,H03F 1,1943,feedback control,Standard Telephones Cables Ltd
US2369474,H03M 5,1943,translator,Ibm
US2373247,H04L 13,1943,time control system,Automatic Elect Lab
US2373504,G01G 19,1943,aircraft distribution,York Res Corp
US2374817,G01R 25,1943,electric system,Int Standard Electric Corp
US2382787,B65H 35,1943,strip system,Nashua Gummed & Coated Paper
US2382994,G01C 21,1943,electric control,Bell Telephone Labor Inc
US2385086,H03C 3,1943,electric control,Hartford Nat Bank & Trust Co
US2386049,H04R 19,1943,frequency control system,Gen Electric
US2388555,B23Q 35,1943,tracker control,Gen Electric
US2393060,H02H 7,1943,control system,Westinghouse Electric Corp
US2395467,H04J 1,1943,telephone system,Standard Telephones Cables Ltd
US2395525,B23Q 35,1943,navigating control,Continental Machines
US2397604,G08C 19,1943,remote inditatoin,Standard Telephones Cables Ltd
US2397933,B23Q 35,1943,curve tracker,Linde Air Prod Co
US2398771,H03K 3,1943,electronic control system,Ncr Co
US2399777,G08G 5,1943,airplane control,Gen Railway Signal Co
US2400574,H04L 17,1943,telemetric device,Bell Telephone Labor Inc
US2401021,G06K 7,1943,computing device,"Rosenberg Martin, Conrad Matthew"
US2401447,H04K 1,1943,multiplier system,Rca Corp
US2401527,G06G 7,1943,electronic switch,Rca Corp
US2402359,G01R 31,1943,elctric control,Cossor Ltd A C
US2402372,H03K 23,1943,counting device,Ncr Co
US2402432,H03K 21,1943,electric counting,Ncr Co
US2403890,G08C 15,1943,telemetric system,Hazeltine Research Inc
US2403918,G04F 10,1943,electric chronograph,Rca Corp
US2404047,G06F 7,1943,electric computing,Rca Corp
US2406125,H03J 7,1943,radio system,Hartford Nat Bank & Trust Co
US2408821,H03G 3,1943,automatic control,Sperry Gryoscope Company Inc
US2409895,G05D 3,1943,position control system,Westinghouse Electric Corp
US2410295,B23Q 15,1943,automatic control,Gen Electric
US2410540,G08G 5,1943,airplane traffic control,Gen Railway Signal Co
US2410821,G08C 19,1943,indicate system,Hillman Leon
US2411147,G05D 3,1943,remote control,Times Telephoto Equipment Inc
US2413300,G01S 19,1943,navigating machine,Charles G Dunn
US2416188,H03K 3,1943,frequency control system,Westinghouse Electric Corp
US2417148,B07C 5,1943,guage control,Gen Motors Corp
US2417831,H03K 23,1943,counting relay system,Bell Telephone Labor Inc
US2418116,H04J 3,1943,sync system,Standard Telephones Cables Ltd
US2421018,G01S 15,1943,radio system,Standard Telephones Cables Ltd
US2421560,G01R 17,1943,frequency control system,Rca Corp
US2423438,G05D 3,1943,electric motor control,Raytheon Mfg Co
US2424218,G11B 5,1943,recording system,Brush Dev Co
US2424585,H04Q 1,1943,telephone system,Int Standard Electric Corp
US2428017,H03J 1,1943,remote control system,Int Standard Electric Corp
US2428990,G06F 7,1943,electronic computer,Rca Corp
US2429606,F41G 3,1943,parallax correction,Sperry Gyroscope Co Inc
US2429613,H04B 7,1943,communication system,Standard Telephones Cables Ltd
US2430547,H04L 25,1943,electric tele control,Rca Corp
US2435840,G06F 7,1943,computing,Rca Corp
US2436178,H03M 1,1943,electric computing,Rca Corp
US2437251,G01S 3,1943,radio system,Sperry Corp
US2437603,B23Q 35,1943,machine control,Bailey Meter Co
US2438888,G01S 7,1943,radio system,Bell Telephone Labor Inc
US2440083,H02P 23,1943,control system,Curtiss Wright Corp
US2442428,G06F 7,1943,calculating device,Ncr Co
US2462292,G01B 9,1943,light measuring device,Rca Corp
US2462913,G05F 1,1943,electric control,Sorensen Edward M
US2469269,F16H 25,1943,actuator device,Lear Inc
US2472129,G06G 7,1943,radio system,Sperry Corp
US2473424,G05D 3,1943,tube controll,Submarine Signal Co
US2484081,H03K 3,1943,electrical comparing,Ibm
US2484575,H02J 3,1943,phase control,Gen Electric
US2487469,G06M 1,1943,actuate system,Production Instr Company
US2489824,H03B 19,1943,frequency control system,Rca Corp
US2298521,G05D 3,1942,remote control,Frederick Uehling Fritz
US2306230,B23K 11,1942,translator,Gen Electric
US2311142,B23Q 17,1942,precision machine,Genevoise Instr Physique
US2332253,H03H 11,1942,radio system,Rca Corp
US2334543,G08C 19,1942,remote indcation,Rochester Mfg Co Inc
US2334965,D06F 37,1942,washing machine control,Leo M Harvey
US2337132,B23Q 15,1942,electric control,Rca Corp
US2338512,H03C 1,1942,telephone circuit,Westinghouse Electric & Mfg Co
US2342318,H04L 25,1942,electrical timing circuit,Bell Telephone Labor Inc
US2345613,B23Q 5,1942,lathe attachment,Lukis Ernest Du B
US2345668,H03K 4,1942,impulse generator,Farnsworth Television & Radio
US2347084,G11B 7,1942,sound system,Rca Corp
US2348401,G01R 13,1942,recording system,Olive S Petty
US2349987,B61L 3,1942,signal system,Union Switch & Signal Co
US2352507,G01B 5,1942,guage control,Sheffield Corp
US2353672,G01R 29,1942,phase shifting,Rca Corp
US2354365,H03H 7,1942,sync system,Aladdin Radio Ind Inc
US2354391,G05B 19,1942,machine control,Arthur R Mccourt
US2358454,H03J 7,1942,automatic circuit,Rca Corp
US2358746,G05B 19,1942,control machine,Brown & Sharpe Mfg
US2362197,G05D 3,1942,electric stop system,Ford Instr Co Inc
US2364210,H04K 1,1942,signaling system,Patelhold Patentverwertung
US2366543,G01C 19,1942,navigation machine,Smith & Sons Ltd S
US2367925,H02J 3,1942,sync system,Westinghouse Electric & Mfg Co
US2368408,B23Q 16,1942,carraige control,Letourneau Inc
US2370727,G04F 10,1942,time control system,Bell Telephone Labor Inc
US2371415,G08C 19,1942,remote control system,Rca Corp
US2373134,H03K 23,1942,signal system,Bell Telephone Labor Inc
US2373503,G01M 1,1942,mail treat machine,Commercial Controls Corp
US2375665,G01D 5,1942,electric position,Genevoise Instr Physique
US2378383,G01R 13,1942,translator,Brush Dev Co
US2379072,H02P 5,1942,motor control,Cutler Hammer Inc
US2381826,G01L 7,1942,indicate wave light,Gen Aircraft Equipment Inc
US2381928,H03K 9,1942,frequency control,Rca Corp
US2383901,B64C 25,1942,power trans machine,Gen Motors Corp
US2386892,H03B 5,1942,amplipier or oscilliator,Automatic Elect Lab
US2388727,G01N 21,1942,glossmeter,Interchem Corp
US2389275,G08C 19,1942,telemetric device,Automatic Elect Lab
US2393186,G01D 13,1942,register printer device,Gen Electric
US2395351,G01C 21,1942,navigating machine,Sohn Marion E
US2395575,G05D 3,1942,motion transmission system,Bell Telephone Labor Inc
US2398519,G05D 3,1942,remote control system,Rca Corp
US2403429,G01S 1,1942,radio system,Rca Corp
US2403561,H04J 3,1942,multi control system,Rca Corp
US2403615,H01H 51,1942,frequency control system,Rca Corp
US2403873,H03K 3,1942,impulse system,Ncr Co
US2403958,G01R 23,1942,radio system,Rca Corp
US2405231,G01S 19,1942,airplane system,Bell Telephone Labor Inc
US2405765,H04B 7,1942,radio system,Rca Corp
US2406299,H01J 40,1942,photoelectric system,Genevoise Instr Physique
US2406318,G01N 21,1942,control system,Westinghouse Electric Corp
US2407320,H03K 23,1942,electronic control system,Bell Telephone Labor Inc
US2408363,B65H 35,1942,electric control,Better Packages Inc
US2408794,H04L 27,1942,signaling system,Bell Telephone Labor Inc
US2411613,G01F 1,1942,metering device,Jensen Machinery Company Inc
US2414221,G01D 9,1942,recording system,Bristol Company
US2415191,G06G 7,1942,electric computer,Rca Corp
US2416329,H03K 7,1942,modulation system,Standard Telephones Cables Ltd
US2423337,G05D 1,1942,radio system, Sperry Gyroscope Co Inc
US2423440,G05B 19,1942,automatic control,Actrol Inc
US2425124,G07C 3,1942,automatic control,Gen Controls Co
US2425405,G06G 7,1942,electrical control system,Rca Corp
US2426454,H03K 17,1942,electric switching,Hazeltine Research Inc
US2429500,B26D 5,1942,photoelectric control,Photoswitch Inc
US2433385,G01S 1,1942,navigation system,Bell Telephone Labor Inc
US2441127,H03D 7,1942,circuit control,Tung Sol Lamp Works Inc
US2442403,H03K 23,1942,electric switching,Rca Corp
US2443624,G01C 3,1942,conputer device,Bell Telephone Labor Inc
US2446945,H03K 29,1942,electric computer,Rca Corp
US2462275,H03K 23,1942,electric computing,Rca Corp
US2476747,G06G 7,1942,electrical computer,Bell Telephone Labor Inc
US2269643,B23K 7,1941,cutting machine,Messer & Co Gmbh
US2292835,H03K 4,1941,electric system,Gerard Hepp
US2294734,G06K 13,1941,recording system,Ibm
US2297876,G05B 11,1941,control system,Pickering Governor Company
US2298026,H02J 3,1941,control system,Gen Electric
